algoritmo,n,patron,repeticion,tiempo_us,comparaciones,intercambios

Insercion Binaria,1000,Aleatorio,1,1020,8571,251381
Insercion Binaria,1000,Aleatorio,2,805,8571,251381
Insercion Binaria,1000,Aleatorio,3,744,8571,251381
Insercion Binaria,1000,Aleatorio,4,780,8571,251381
Insercion Binaria,1000,Aleatorio,5,784,8571,251381
Insercion Binaria,1000,Aleatorio,6,702,8571,251381
Insercion Binaria,1000,Aleatorio,7,677,8571,251381
Insercion Binaria,1000,Aleatorio,8,722,8571,251381
Insercion Binaria,1000,Aleatorio,9,632,8571,251381
Insercion Binaria,1000,Aleatorio,10,661,8571,251381
Insercion Binaria,1000,Aleatorio,11,618,8571,251381
Insercion Binaria,1000,Aleatorio,12,579,8571,251381
Insercion Binaria,1000,Aleatorio,13,577,8571,251381
Insercion Binaria,1000,Aleatorio,14,578,8571,251381
Insercion Binaria,1000,Aleatorio,15,579,8571,251381
Insercion Binaria,1000,Aleatorio,16,577,8571,251381
Insercion Binaria,1000,Aleatorio,17,846,8571,251381
Insercion Binaria,1000,Aleatorio,18,625,8571,251381
Insercion Binaria,1000,Aleatorio,19,580,8571,251381
Insercion Binaria,1000,Aleatorio,20,779,8571,251381
Insercion Binaria,1000,Aleatorio,21,611,8571,251381
Insercion Binaria,1000,Aleatorio,22,608,8571,251381
Insercion Binaria,1000,Aleatorio,23,604,8571,251381
Insercion Binaria,1000,Aleatorio,24,698,8571,251381
Insercion Binaria,1000,Aleatorio,25,612,8571,251381
Insercion Binaria,1000,Aleatorio,26,612,8571,251381
Insercion Binaria,1000,Aleatorio,27,616,8571,251381
Insercion Binaria,1000,Aleatorio,28,625,8571,251381
Insercion Binaria,1000,Aleatorio,29,619,8571,251381
Insercion Binaria,1000,Aleatorio,30,611,8571,251381

Radix sort,1000,Aleatorio,1,66,5003,8000
Radix sort,1000,Aleatorio,2,30,5003,8000
Radix sort,1000,Aleatorio,3,30,5003,8000
Radix sort,1000,Aleatorio,4,30,5003,8000
Radix sort,1000,Aleatorio,5,30,5003,8000
Radix sort,1000,Aleatorio,6,30,5003,8000
Radix sort,1000,Aleatorio,7,30,5003,8000
Radix sort,1000,Aleatorio,8,27,5003,8000
Radix sort,1000,Aleatorio,9,30,5003,8000
Radix sort,1000,Aleatorio,10,38,5003,8000
Radix sort,1000,Aleatorio,11,30,5003,8000
Radix sort,1000,Aleatorio,12,30,5003,8000
Radix sort,1000,Aleatorio,13,42,5003,8000
Radix sort,1000,Aleatorio,14,30,5003,8000
Radix sort,1000,Aleatorio,15,32,5003,8000
Radix sort,1000,Aleatorio,16,30,5003,8000
Radix sort,1000,Aleatorio,17,31,5003,8000
Radix sort,1000,Aleatorio,18,45,5003,8000
Radix sort,1000,Aleatorio,19,75,5003,8000
Radix sort,1000,Aleatorio,20,34,5003,8000
Radix sort,1000,Aleatorio,21,49,5003,8000
Radix sort,1000,Aleatorio,22,40,5003,8000
Radix sort,1000,Aleatorio,23,44,5003,8000
Radix sort,1000,Aleatorio,24,34,5003,8000
Radix sort,1000,Aleatorio,25,34,5003,8000
Radix sort,1000,Aleatorio,26,34,5003,8000
Radix sort,1000,Aleatorio,27,49,5003,8000
Radix sort,1000,Aleatorio,28,50,5003,8000
Radix sort,1000,Aleatorio,29,40,5003,8000
Radix sort,1000,Aleatorio,30,38,5003,8000
